id,defense_multiplier,hp,attack,attack_speed,defense,dodge_frequency
1,Low,354.9,194.0,36.8,654.0,0.02
2,Low,567.2,165.5,57.8,463.5,0.15
3,Low,308.0,113.6,66.7,699.3,0.15
4,Very Low,501.8,71.2,112.8,961.9,0.22
5,Low,250.0,151.9,86.1,434.8,0.0
6,Low,710.3,133.6,48.3,434.8,0.24
7,Very Low,625.5,163.7,84.7,978.8,0.0
8,Low,298.2,148.1,44.1,735.2,0.06
9,Low,888.7,173.0,96.7,364.2,0.08
10,Low,1000.0,77.9,65.6,667.8,0.24
11,Low,250.0,189.0,73.1,366.0,0.15
12,Low,319.9,121.9,101.5,365.3,0.0
13,Low,317.3,200.0,49.3,577.6,0.0
14,Very High,250.0,68.6,47.1,10.0,0.18
15,Very High,956.8,200.0,63.3,10.0,0.14
16,Low,547.5,121.9,95.8,336.3,0.06
17,Low,519.2,70.9,44.6,201.2,0.08
18,Low,250.0,81.0,30.0,599.3,0.25
19,Low,879.2,90.8,66.0,232.6,0.07
20,Median,250.0,135.4,86.0,81.3,0.14
21,Low,649.0,141.4,99.0,944.7,0.3
22,Low,736.0,75.6,65.7,437.3,0.0
23,Low,1000.0,108.5,66.8,525.3,0.0
24,Median,250.0,200.0,98.1,77.6,0.27
25,Low,250.0,200.0,37.6,341.7,0.05
26,Low,698.5,136.2,67.2,538.3,0.1
27,Low,1000.0,112.3,78.8,159.7,0.03
28,Low,1000.0,117.2,84.0,617.7,0.11
29,Low,708.9,146.8,64.8,324.8,0.3
30,Low,428.3,48.6,75.7,417.5,0.27
31,Low,947.8,94.6,30.0,324.5,0.28
32,Very Low,250.0,20.0,61.8,1000.0,0.0
33,Low,815.5,134.0,84.1,501.0,0.0
34,Low,827.2,148.8,55.4,187.7,0.0
35,Low,1000.0,81.0,76.2,751.8,0.03
36,Low,1000.0,200.0,83.9,138.7,0.29
37,Low,782.0,36.5,68.1,567.7,0.23
38,Very High,421.4,22.1,78.4,10.0,0.12
39,Median,614.8,123.5,55.7,106.5,0.15
40,Low,250.0,172.8,70.9,564.1,0.05
41,Low,347.1,200.0,87.2,726.5,0.18
42,Low,461.3,82.5,78.1,556.4,0.26
43,Low,415.4,174.7,63.3,470.3,0.0
44,Low,685.9,107.7,79.5,414.7,0.19
45,Median,296.0,99.6,89.3,61.4,0.29
46,Low,1000.0,163.0,34.0,289.0,0.09
47,Low,625.1,149.1,98.2,366.8,0.26
48,Low,621.3,20.0,68.3,822.1,0.3
49,Low,493.8,198.6,83.5,608.1,0.13
50,Very High,687.1,192.8,98.9,10.0,0.21
51,Low,955.0,72.5,47.6,602.2,0.04
52,Low,278.1,133.7,60.8,389.5,0.18
53,Low,361.8,139.6,69.2,301.9,0.22
54,Low,503.5,125.6,59.3,688.5,0.18
55,Low,250.0,77.0,109.7,814.3,0.0
56,Low,297.3,69.7,57.9,784.4,0.18
57,Low,434.5,108.5,63.9,253.2,0.3
58,Low,974.8,180.4,79.1,412.2,0.22
59,Low,730.0,142.6,51.0,604.4,0.29
60,Low,702.4,87.8,67.1,797.7,0.11
61,Low,965.4,156.3,81.3,361.2,0.26
62,Low,570.1,20.0,68.3,449.3,0.19
63,Low,781.2,178.9,73.1,173.1,0.01
64,Low,583.7,20.0,64.4,146.1,0.2
65,Low,731.1,88.3,44.7,748.8,0.0
66,Low,391.9,42.8,81.4,911.9,0.06
67,Low,250.0,32.3,110.1,483.4,0.18
68,Low,571.3,179.6,75.4,806.1,0.19
69,Low,1000.0,81.9,79.5,613.5,0.0
70,Low,995.5,130.8,88.9,311.5,0.3
71,Low,1000.0,107.2,49.6,613.4,0.24
72,Very Low,1000.0,138.6,109.1,966.4,0.04
73,Low,660.5,114.6,79.0,494.3,0.0
74,Very Low,703.9,33.0,107.6,974.4,0.13
75,Very High,377.9,169.8,60.3,10.0,0.08
76,Low,498.6,80.4,111.4,751.6,0.17
77,Low,871.3,20.0,90.5,531.1,0.1
78,Low,1000.0,84.3,86.1,415.3,0.0
79,Low,569.2,200.0,79.7,532.5,0.09
80,Very High,444.9,161.0,70.0,10.0,0.1
81,Low,625.2,89.1,99.0,439.1,0.25
82,Low,865.5,89.0,77.8,612.1,0.05
83,Low,250.0,90.7,35.7,948.4,0.3
84,Low,250.0,200.0,52.7,349.5,0.0
85,Low,404.8,132.9,71.3,262.5,0.3
86,Low,250.0,135.8,81.2,354.5,0.12
87,Low,421.7,171.8,73.9,779.6,0.28
88,Low,565.9,124.3,99.4,603.6,0.16
89,Low,443.7,94.5,36.0,346.1,0.3
90,Low,1000.0,98.2,77.9,659.0,0.09
91,Low,755.7,105.7,38.6,534.1,0.0
92,Low,745.2,107.8,90.2,795.6,0.3
93,Low,873.9,153.7,73.1,294.4,0.13
94,Low,250.0,113.1,83.4,406.7,0.18
95,Low,1000.0,154.0,57.7,387.4,0.3
96,Median,594.7,105.2,100.6,65.9,0.0
97,Low,893.2,114.7,95.8,593.8,0.24
98,Low,250.0,20.0,86.7,583.3,0.06
99,Low,250.0,165.0,72.4,506.5,0.13
100,Low,952.2,130.8,86.6,434.6,0.16
101,Median,775.6,169.9,60.9,80.4,0.0
102,Low,264.2,20.0,92.1,378.8,0.03
103,Low,277.1,200.0,108.0,402.2,0.3
104,Low,1000.0,101.6,96.4,264.3,0.28
105,Low,250.0,176.5,60.4,456.6,0.14
106,Low,1000.0,47.6,82.2,626.2,0.19
107,Very Low,264.8,146.8,49.1,1000.0,0.11
108,Low,880.4,46.8,86.4,557.4,0.3
109,Low,493.6,72.6,84.0,582.3,0.12
110,Low,866.3,200.0,37.6,482.7,0.18
111,Very High,407.4,98.6,51.8,10.0,0.3
112,Low,559.9,123.0,69.3,497.0,0.03
113,Low,641.4,162.2,69.0,523.1,0.3
114,Very Low,250.0,139.7,50.8,1000.0,0.0
115,Low,921.3,119.0,82.8,447.3,0.3
116,Low,419.7,131.9,80.0,595.5,0.09
117,Low,533.6,200.0,71.1,494.6,0.11
118,Low,250.0,106.5,59.9,154.4,0.0
119,Low,250.0,122.1,96.0,847.8,0.08
120,Low,548.6,173.0,108.1,730.6,0.0
121,Low,1000.0,176.3,65.3,742.3,0.06
122,Low,938.8,181.2,62.8,232.2,0.13
123,Low,617.3,148.3,84.8,925.8,0.29
124,Median,519.8,41.4,67.8,84.4,0.18
125,Low,634.0,200.0,72.2,681.1,0.2
126,Very Low,843.8,41.2,89.8,1000.0,0.0
127,Low,250.0,128.2,36.8,207.8,0.02
128,Low,1000.0,64.7,101.4,335.1,0.3
129,Low,911.2,106.2,76.5,534.9,0.04
130,Low,912.3,129.7,66.8,354.0,0.3
131,High,800.4,129.3,73.2,39.8,0.11
132,Low,632.8,135.3,74.2,525.6,0.15
133,Low,894.1,200.0,40.4,186.3,0.3
134,Low,861.7,137.2,104.9,647.1,0.3
135,Low,483.4,95.4,75.8,229.2,0.13
136,Very Low,395.6,167.8,83.9,970.0,0.09
137,Low,665.7,181.4,94.0,270.0,0.14
138,Low,1000.0,36.3,54.6,408.4,0.2
139,Low,250.0,145.8,84.5,749.1,0.28
140,Low,250.0,152.1,69.6,135.7,0.15
141,Low,690.9,92.1,91.9,573.2,0.24
142,Low,645.4,192.5,32.5,897.1,0.3
143,High,694.3,101.0,73.0,22.8,0.21
144,Low,722.6,117.5,62.9,560.4,0.2
145,Low,535.7,99.6,83.6,583.0,0.0
146,Low,1000.0,110.9,84.4,739.5,0.0
147,Low,250.0,44.2,60.8,133.9,0.21
148,Median,293.6,23.6,60.8,108.9,0.14
149,Low,583.7,200.0,72.8,661.6,0.07
150,Low,250.0,59.2,57.1,594.1,0.19
151,Low,554.7,50.5,91.8,580.1,0.14
152,Low,1000.0,20.0,67.6,608.9,0.3
153,Low,633.4,71.7,30.0,301.0,0.16
154,Low,717.3,30.6,67.5,574.7,0.04
155,Low,250.0,200.0,54.2,592.9,0.3
156,Low,378.5,170.6,42.4,290.7,0.12
157,Very Low,474.9,68.7,50.3,1000.0,0.23
158,Low,497.9,200.0,77.2,647.1,0.08
159,Low,1000.0,168.9,101.6,147.6,0.05
160,Low,848.1,90.5,81.3,702.0,0.16
161,Low,250.0,20.0,62.9,212.6,0.15
162,Low,723.6,200.0,84.1,741.1,0.22
163,Low,824.3,26.6,65.8,852.6,0.11
164,Low,1000.0,20.0,61.1,258.8,0.0
165,Low,1000.0,171.4,51.9,794.0,0.09
166,Low,250.0,200.0,40.0,628.8,0.27
167,Low,300.7,193.1,67.2,751.6,0.11
168,Very Low,250.0,143.8,78.2,1000.0,0.11
169,Low,531.4,145.7,73.1,431.4,0.3
170,Low,811.5,161.2,66.7,278.9,0.04
171,Low,1000.0,155.5,56.1,238.1,0.0
172,Low,594.6,126.9,87.2,260.3,0.13
173,Low,497.1,116.3,48.7,481.9,0.08
174,Low,685.7,106.2,90.5,607.3,0.01
175,Low,290.9,64.8,55.0,588.0,0.12
176,Low,1000.0,93.2,60.0,753.2,0.22
177,Low,250.0,20.0,45.7,508.9,0.15
178,Low,698.9,104.1,65.0,941.1,0.2
179,Low,1000.0,50.7,94.5,425.6,0.3
180,Very Low,627.7,43.8,85.3,1000.0,0.1
181,Low,549.0,120.8,94.6,692.7,0.19
182,Low,482.0,193.5,85.4,247.9,0.07
183,Low,552.8,165.1,52.9,183.7,0.02
184,Low,1000.0,20.0,68.4,649.7,0.06
185,Low,250.0,50.6,59.4,438.0,0.08
186,Low,1000.0,166.4,101.6,719.2,0.2
187,Low,250.0,51.1,51.1,647.0,0.3
188,Low,518.3,96.5,92.9,483.2,0.04
189,Low,453.3,143.0,92.9,251.0,0.09
190,Median,860.4,51.9,111.6,50.5,0.14
191,Low,250.0,116.3,66.8,371.0,0.21
192,Low,809.9,30.0,89.2,761.9,0.19
193,Low,1000.0,73.9,120.0,569.2,0.3
194,Low,250.0,129.2,62.6,131.3,0.0
195,Low,700.9,20.0,44.3,557.0,0.0
196,Low,360.2,136.4,37.4,620.6,0.08
197,Low,795.4,108.8,89.3,239.8,0.3
198,Low,632.7,143.1,37.3,551.1,0.0
199,Low,368.4,123.4,67.6,522.5,0.0
200,Low,820.1,191.8,83.7,162.1,0.24
201,Low,1000.0,117.5,78.7,612.3,0.19
202,Low,548.6,84.2,83.5,673.2,0.0
203,Low,912.9,117.3,79.4,829.9,0.0
204,Low,250.0,142.6,100.6,821.1,0.0
205,Median,250.0,112.9,56.0,91.7,0.17
206,Low,814.0,112.4,61.5,223.7,0.06
207,Low,1000.0,67.9,59.5,659.5,0.22
208,Low,767.2,70.2,91.6,659.1,0.0
209,Low,499.8,25.8,93.0,659.5,0.02
210,Very Low,624.7,200.0,84.0,1000.0,0.0
211,Low,250.0,35.4,98.7,676.3,0.11
212,Low,866.8,68.4,51.4,845.7,0.07
213,Low,977.9,66.9,108.3,791.2,0.27
214,Low,444.2,163.7,105.5,700.4,0.0
215,Low,437.0,92.3,89.7,410.4,0.16
216,Low,731.4,184.9,110.6,732.7,0.23
217,Low,450.3,69.6,41.9,273.2,0.3
218,Low,598.5,126.7,64.5,434.0,0.08
219,Low,1000.0,59.9,60.3,359.4,0.2
220,Low,526.2,200.0,89.4,529.6,0.0
221,Very Low,481.7,38.7,54.0,1000.0,0.0
222,Very High,366.0,128.6,90.1,10.0,0.28
223,Low,922.7,148.0,102.4,710.9,0.15
224,High,552.5,134.8,88.9,21.2,0.3
225,Low,365.3,98.9,80.7,363.4,0.0
226,Low,1000.0,102.2,55.2,831.7,0.23
227,Low,1000.0,112.6,58.1,524.3,0.3
228,Low,384.8,101.2,100.0,181.7,0.21
229,Low,250.0,167.8,90.6,290.4,0.19
230,Low,1000.0,200.0,74.2,708.9,0.15
231,Low,351.1,76.6,66.6,285.9,0.0
232,Low,941.3,27.8,34.5,569.9,0.3
233,Low,250.0,104.7,53.6,518.7,0.06
234,Low,982.0,200.0,113.2,309.5,0.23
235,Very Low,250.0,61.8,49.4,1000.0,0.0
236,Low,917.3,200.0,78.8,695.2,0.0
237,Very High,630.7,200.0,95.1,10.0,0.3
238,Low,250.0,76.8,49.9,560.9,0.1
239,Low,462.2,144.1,78.7,306.5,0.3
240,Low,899.5,200.0,93.8,760.7,0.14
241,Low,667.4,87.3,75.2,267.2,0.0
242,Low,858.8,97.8,120.0,470.6,0.28
243,Low,1000.0,75.1,41.6,656.5,0.06
244,Low,250.0,49.1,96.2,764.7,0.25
245,Low,1000.0,71.0,71.5,144.9,0.15
246,Low,666.7,36.6,90.4,404.6,0.0
247,Low,265.5,112.0,83.8,362.5,0.17
248,Low,250.0,63.8,60.3,309.0,0.3
249,Very Low,549.4,124.0,79.6,1000.0,0.22
250,Low,993.7,20.0,37.8,626.5,0.14
251,Low,574.0,129.9,87.1,126.7,0.3
252,Low,1000.0,160.0,81.0,780.4,0.18
253,Very Low,250.0,20.0,87.8,1000.0,0.18
254,Low,620.2,132.4,96.2,814.7,0.0
255,Median,250.0,183.7,82.4,49.2,0.19
256,Low,770.5,37.4,78.0,359.7,0.3
257,Low,979.8,200.0,57.4,885.1,0.02
258,Low,456.7,135.1,60.8,292.7,0.3
259,Low,250.0,67.7,98.7,638.1,0.14
260,Low,704.6,106.7,103.7,737.4,0.02
261,Low,799.7,143.5,70.2,226.9,0.3
262,Low,786.7,114.6,75.9,487.1,0.11
263,Very High,1000.0,142.3,56.9,10.0,0.26
264,Low,250.0,54.8,98.5,197.7,0.11
265,Low,897.1,120.2,88.3,429.2,0.14
266,Low,1000.0,25.2,113.8,130.7,0.22
267,Very Low,250.0,103.3,57.4,994.7,0.19
268,Median,752.9,55.8,67.4,76.0,0.0
269,Low,423.3,65.9,79.6,373.0,0.0
270,Low,592.4,184.2,87.9,544.2,0.29
271,Low,764.1,175.5,70.7,937.4,0.13
272,Median,430.1,146.5,57.5,74.2,0.07
273,Low,354.7,44.5,92.6,853.9,0.0
274,Low,638.7,91.0,89.4,508.1,0.0
275,Low,250.0,182.8,56.7,210.5,0.0
276,Low,250.0,118.5,102.1,643.6,0.13
277,Low,896.7,200.0,98.4,564.7,0.06
278,Low,250.0,133.6,77.7,324.9,0.01
279,Low,891.5,121.5,76.6,525.9,0.14
280,Low,810.0,91.5,86.1,389.4,0.2
281,Low,250.0,118.0,57.8,539.1,0.3
282,Low,354.0,100.9,75.6,703.6,0.0
283,Very Low,1000.0,152.5,32.0,980.8,0.3
284,Low,250.0,167.4,92.5,133.7,0.3
285,Very Low,439.2,62.8,43.8,1000.0,0.03
286,Very High,809.8,30.1,105.1,10.0,0.18
287,Low,938.4,20.0,68.4,459.5,0.08
288,Low,524.4,140.5,70.8,681.5,0.18
289,Low,386.0,43.8,62.4,589.3,0.3
290,Low,1000.0,20.0,69.2,318.2,0.24
291,Low,1000.0,133.3,103.4,442.6,0.23
292,Low,1000.0,200.0,30.0,357.1,0.09
293,Low,659.1,109.6,100.5,328.2,0.0
294,Low,301.7,160.3,81.8,759.9,0.12
295,Low,292.8,114.9,50.9,612.1,0.3
296,Low,834.0,104.1,53.5,297.1,0.0
297,Low,792.4,165.1,108.5,774.9,0.0
298,Low,1000.0,92.6,56.1,597.2,0.17
299,Low,885.2,126.0,51.9,748.9,0.0
300,Low,250.0,129.3,97.7,693.9,0.03
301,Low,1000.0,69.9,81.8,256.3,0.09
302,Low,250.0,169.5,56.2,336.9,0.0
303,Low,471.4,99.5,79.3,729.2,0.0
304,Low,725.1,64.7,54.5,688.1,0.26
305,Low,1000.0,142.2,97.0,498.7,0.0
306,Low,1000.0,56.1,96.2,540.2,0.0
307,Low,867.7,111.7,85.6,888.3,0.06
308,Low,551.7,109.5,82.2,327.5,0.26
309,Low,838.8,175.2,110.2,669.1,0.12
310,Low,980.1,138.5,75.0,444.3,0.08
311,Low,496.7,108.5,51.4,439.7,0.16
312,Low,1000.0,159.1,84.0,834.6,0.0
313,Low,717.0,193.4,116.7,752.6,0.22
314,Low,824.1,143.5,54.7,749.1,0.21
315,Low,891.4,110.6,67.8,896.6,0.09
316,Low,793.6,31.3,83.3,511.3,0.3
317,Low,960.6,46.1,73.9,709.6,0.0
318,Low,378.1,91.7,55.4,411.9,0.3
319,Low,401.7,73.4,97.4,602.2,0.17
320,Low,250.0,98.8,120.0,466.0,0.1
321,Low,800.8,113.4,78.9,534.1,0.15
322,Low,936.6,141.8,56.9,683.5,0.13
323,Low,808.1,105.8,44.0,259.5,0.3
324,Very Low,1000.0,139.2,80.2,1000.0,0.0
325,Low,622.8,113.9,97.1,203.2,0.04
326,Low,892.5,20.0,84.5,140.7,0.3
327,Low,250.0,53.6,75.0,852.4,0.06
328,Low,470.2,101.4,63.2,742.5,0.29
329,Low,903.2,37.4,53.2,692.2,0.3
330,Low,964.6,146.0,91.7,693.5,0.09
331,Low,507.4,200.0,93.3,501.3,0.25
332,Low,596.4,183.1,44.1,235.8,0.0
333,Low,250.0,97.2,106.8,527.7,0.26
334,Low,482.2,199.4,86.5,301.9,0.18
335,Low,981.2,118.9,103.0,797.5,0.22
336,Low,855.1,89.8,48.2,460.9,0.05
337,Low,825.3,73.2,47.7,257.4,0.0
338,Low,644.9,91.9,72.0,408.6,0.23
339,Low,627.8,86.7,85.1,628.9,0.0
340,Low,360.9,120.2,110.9,335.9,0.1
341,Low,904.5,119.6,89.1,258.3,0.29
342,Low,793.4,110.2,70.1,578.1,0.18
343,Low,821.8,136.2,54.5,578.5,0.3
344,Low,414.6,181.4,99.6,352.9,0.3
345,Low,250.0,167.0,55.7,363.7,0.05
346,Low,1000.0,20.9,107.6,574.6,0.15
347,Median,433.5,20.0,69.3,70.6,0.14
348,Median,279.9,166.1,106.8,82.8,0.0
349,Low,902.4,28.0,88.6,289.5,0.01
350,Low,468.2,96.5,72.3,441.0,0.07
351,Low,1000.0,39.8,64.6,598.3,0.0
352,Low,871.8,20.0,68.2,947.6,0.16
353,Low,898.4,142.5,83.6,762.3,0.11
354,Low,250.0,155.5,76.5,457.0,0.0
355,Low,1000.0,75.4,63.1,499.3,0.21
356,Low,729.5,20.0,71.7,204.2,0.26
357,Low,477.3,77.2,76.6,499.4,0.18
358,Low,682.4,133.5,32.4,418.4,0.1
359,Low,250.0,21.3,84.2,601.8,0.24
360,Low,788.5,121.0,55.4,256.8,0.25
361,Low,250.0,109.1,51.9,660.8,0.2
362,Very Low,250.0,144.8,41.3,964.8,0.03
363,Low,250.0,117.2,39.1,472.4,0.19
364,Low,1000.0,51.6,47.9,625.5,0.3
365,Low,373.3,181.8,60.8,712.0,0.06
366,Low,1000.0,100.5,114.1,384.6,0.3
367,Low,410.7,108.4,64.5,572.2,0.07
368,Low,250.0,54.0,78.6,508.8,0.15
369,Low,250.0,83.4,83.0,534.3,0.05
370,Low,1000.0,56.9,77.6,273.1,0.18
371,Low,562.6,99.6,73.5,512.4,0.0
372,Low,405.7,200.0,51.1,654.4,0.07
373,Low,689.0,27.7,104.0,940.3,0.0
374,Low,825.7,20.0,111.1,792.8,0.17
375,Very Low,1000.0,198.3,41.3,1000.0,0.3
376,Low,1000.0,97.4,54.5,274.8,0.25
377,Low,481.1,69.9,69.4,766.7,0.0
378,Low,250.0,172.4,55.7,560.0,0.3
379,Very Low,459.6,73.7,85.1,1000.0,0.19
380,Low,729.1,200.0,60.4,262.5,0.03
381,Low,250.0,150.7,118.3,253.1,0.17
382,Low,250.0,80.7,98.8,325.2,0.18
383,Very High,762.5,200.0,79.3,10.0,0.05
384,Low,605.5,73.7,95.5,347.3,0.18
385,Low,638.1,154.5,97.1,277.3,0.06
386,Low,321.6,128.0,63.7,550.1,0.09
387,Low,532.8,188.1,58.7,607.5,0.05
388,Very Low,255.3,200.0,76.6,1000.0,0.0
389,Low,981.1,111.9,92.2,790.1,0.17
390,Low,1000.0,64.8,77.8,331.9,0.24
391,Low,250.0,137.6,43.5,235.5,0.23
392,Low,253.2,69.3,58.9,652.6,0.27
393,Median,250.0,200.0,73.5,108.9,0.2
394,Very Low,365.0,118.2,73.5,1000.0,0.07
395,Low,591.6,88.1,114.5,858.8,0.28
396,Low,250.0,121.1,47.3,364.2,0.0
397,Very High,256.3,29.2,85.1,10.0,0.01
398,Low,250.0,51.7,104.8,911.2,0.01
399,Low,707.9,182.0,120.0,470.6,0.3
400,Low,652.7,70.6,66.9,876.3,0.29
401,High,336.3,47.2,84.8,26.7,0.22
402,Low,695.7,142.2,86.4,325.2,0.3
403,Low,406.3,181.1,78.9,506.6,0.02
404,Low,516.3,153.1,73.0,519.1,0.2
405,Low,1000.0,169.8,83.7,370.0,0.13
406,Low,1000.0,64.6,30.0,691.9,0.28
407,Low,250.0,24.7,88.6,184.7,0.13
408,Low,956.9,200.0,77.5,462.3,0.09
409,Low,949.6,90.6,70.6,541.1,0.23
410,Low,250.0,95.0,115.9,659.3,0.28
411,Low,952.5,189.7,61.5,718.5,0.05
412,Low,1000.0,143.4,66.9,167.6,0.14
413,High,250.0,137.4,114.8,44.8,0.0
414,Low,258.0,200.0,58.4,888.3,0.0
415,Low,1000.0,71.4,64.0,604.7,0.18
416,Low,733.6,165.7,72.1,280.5,0.24
417,Very Low,845.6,113.4,91.8,970.3,0.19
418,Low,761.2,126.1,79.2,539.7,0.0
419,Low,781.3,200.0,49.1,858.8,0.1
420,Low,250.0,140.5,64.4,525.3,0.0
421,Very Low,1000.0,142.3,62.9,1000.0,0.3
422,Very Low,1000.0,174.4,73.5,1000.0,0.0
423,Low,533.2,88.1,83.5,430.3,0.3
424,Low,607.6,59.6,83.4,796.5,0.29
425,Low,250.0,47.3,39.5,698.6,0.01
426,Low,830.7,20.0,96.3,915.6,0.0
427,Low,853.8,200.0,80.1,215.5,0.2
428,Low,600.1,43.8,102.7,710.8,0.02
429,Low,1000.0,96.7,83.9,822.5,0.17
430,Very High,491.4,93.4,97.0,10.0,0.08
431,Low,850.8,128.4,84.3,150.0,0.0
432,Very High,250.0,158.9,101.9,10.0,0.0
433,Low,615.6,161.6,85.4,424.2,0.18
434,Low,555.3,75.0,73.0,720.3,0.07
435,Low,715.1,100.0,120.0,955.7,0.07
436,Low,477.2,127.0,92.8,527.2,0.25
437,Very Low,572.4,95.1,86.5,993.6,0.3
438,Median,955.4,200.0,49.5,91.0,0.11
439,Very High,450.3,139.5,49.2,10.0,0.1
440,Low,250.0,154.1,80.9,488.3,0.23
441,Low,1000.0,149.8,77.9,620.2,0.0
442,Low,1000.0,180.4,62.7,495.2,0.18
443,Very High,250.0,120.9,77.8,10.0,0.23
444,Low,900.9,32.2,106.8,478.3,0.25
445,Median,423.8,134.0,88.9,113.7,0.0
446,Low,730.4,70.9,52.2,705.9,0.04
447,Low,742.7,78.3,72.8,615.0,0.02
448,Low,531.2,145.2,58.9,223.0,0.16
449,Low,311.5,184.3,67.2,350.8,0.22
450,Low,348.8,111.3,66.7,187.2,0.3
451,Low,258.5,128.5,65.4,486.2,0.08
452,Low,292.3,200.0,49.9,791.5,0.08
453,Low,598.1,124.4,72.4,209.3,0.3
454,Low,338.7,200.0,63.8,656.2,0.19
455,Low,897.8,143.9,30.0,345.9,0.3
456,Low,1000.0,20.0,116.1,267.1,0.19
457,Low,393.0,155.2,96.8,472.9,0.0
458,Low,720.8,132.9,67.5,194.4,0.0
459,Low,824.9,187.4,75.4,338.9,0.0
460,Low,813.8,150.4,51.6,145.6,0.25
461,Very Low,655.4,101.7,108.9,1000.0,0.3
462,Low,922.1,36.5,112.9,515.6,0.3
463,Low,817.9,97.5,78.1,295.1,0.28
464,Low,250.0,59.0,95.5,569.2,0.3
465,Low,972.7,75.2,78.5,471.3,0.06
466,Low,979.9,145.3,48.3,438.7,0.0
467,Low,319.7,200.0,66.8,689.3,0.28
468,Low,640.2,133.7,77.6,732.3,0.21
469,Low,898.3,38.2,65.9,345.8,0.17
470,Low,541.3,136.7,70.6,332.3,0.21
471,Low,1000.0,181.8,73.2,422.5,0.2
472,Very High,1000.0,73.4,73.4,10.0,0.3
473,Median,310.6,102.0,76.0,50.4,0.3
474,Low,250.0,110.9,53.8,915.1,0.23
475,Very Low,746.5,62.9,60.7,998.5,0.28
476,Low,913.6,148.9,49.3,430.3,0.23
477,Low,532.7,102.7,94.6,678.0,0.08
478,Low,1000.0,135.2,32.9,598.4,0.26
479,Very Low,250.0,56.8,98.1,1000.0,0.0
480,Low,902.2,83.8,102.7,840.9,0.3
481,Low,382.7,153.3,69.0,466.6,0.0
482,Low,1000.0,87.6,30.0,218.3,0.19
483,High,1000.0,200.0,67.8,23.1,0.02
484,Low,318.3,86.0,73.7,566.0,0.23
485,Low,405.2,123.5,54.8,278.1,0.14
486,Median,968.8,166.0,64.7,78.3,0.0
487,Low,470.1,24.9,105.6,311.0,0.21
488,Low,606.8,20.0,88.3,180.5,0.06
489,Very Low,635.2,20.0,56.5,1000.0,0.28
490,Low,250.0,185.8,43.0,769.5,0.15
491,Low,619.5,76.9,68.5,502.6,0.21
492,Low,349.1,200.0,70.7,949.0,0.01
493,Low,427.8,76.1,84.9,528.2,0.06
494,Low,1000.0,121.1,64.3,246.6,0.08
495,Very Low,250.0,200.0,85.2,961.9,0.28
496,Low,950.3,200.0,113.7,666.7,0.3
497,Low,513.4,200.0,91.3,193.8,0.03
498,Low,513.1,182.5,74.0,447.9,0.3
499,Low,941.1,171.4,71.3,242.3,0.0
500,Median,761.0,145.6,67.9,90.2,0.0
501,Low,853.2,156.7,98.6,782.9,0.01
