id,defense_multiplier,hp,attack,attack_speed,defense,dodge_frequency
502,Very Low,1000.0,76.9,62.5,1000.0,0.0
503,Median,492.5,60.9,75.9,85.4,0.0
504,Low,380.1,109.8,76.0,673.9,0.21
505,Low,250.0,99.8,65.0,309.8,0.12
506,Low,294.8,82.8,47.6,358.9,0.21
507,Low,1000.0,151.8,81.5,327.3,0.25
508,Low,1000.0,167.3,73.8,245.8,0.19
509,Low,250.0,115.3,85.0,519.6,0.25
510,Low,250.0,198.7,64.3,255.7,0.14
511,Low,817.7,41.5,99.4,586.1,0.0
512,Low,843.9,98.4,57.5,489.9,0.3
513,Low,844.6,67.0,109.2,433.3,0.06
514,Low,523.0,20.0,40.0,232.7,0.01
515,Low,574.8,105.0,83.7,332.0,0.12
516,Low,756.2,102.7,84.5,731.6,0.01
517,Low,659.4,200.0,59.1,655.3,0.09
518,Low,250.0,147.8,83.5,211.7,0.2
519,Low,533.1,48.5,100.6,534.8,0.2
520,Low,284.4,200.0,30.7,730.4,0.02
521,Very High,695.1,183.3,85.1,10.0,0.08
522,Low,1000.0,144.9,30.0,668.0,0.3
523,Low,772.0,96.4,55.7,306.2,0.22
524,Low,499.6,52.4,107.6,676.2,0.3
525,Low,993.7,87.7,63.4,276.0,0.3
526,Very High,818.1,175.3,51.5,10.0,0.3
527,High,793.0,200.0,71.0,16.7,0.0
528,Low,867.7,200.0,116.4,519.4,0.26
529,Low,1000.0,80.7,38.4,582.9,0.14
530,Low,250.0,42.8,54.0,233.7,0.07
531,Low,814.5,118.5,104.9,696.6,0.18
532,Very High,254.4,20.0,112.2,10.0,0.29
533,Low,847.2,129.4,72.9,485.2,0.23
534,Low,257.5,101.1,50.2,141.7,0.02
535,Low,458.1,82.0,116.9,309.4,0.26
536,Low,507.0,20.0,106.9,519.2,0.05
537,Low,1000.0,140.8,88.6,246.9,0.18
538,Low,992.4,78.0,58.8,389.6,0.1
539,Low,250.0,39.8,74.0,806.9,0.12
540,Low,647.0,20.0,71.8,331.9,0.26
541,Low,341.2,108.3,81.6,755.7,0.0
542,Low,250.0,200.0,104.0,166.1,0.3
543,Low,538.2,200.0,92.6,663.9,0.0
544,Low,501.6,82.6,53.5,937.5,0.06
545,Very High,1000.0,73.9,102.5,10.0,0.21
546,Low,798.2,138.1,81.3,265.9,0.24
547,Low,250.0,50.1,88.7,678.1,0.13
548,Low,399.1,128.1,104.3,444.1,0.14
549,Low,1000.0,156.0,52.8,616.3,0.21
550,Low,1000.0,183.6,74.3,323.8,0.12
551,Low,250.0,104.0,64.4,531.0,0.3
552,Low,250.0,97.8,43.6,458.3,0.28
553,Low,1000.0,57.3,81.9,855.3,0.28
554,Low,780.8,60.4,120.0,581.3,0.01
555,Low,277.7,96.4,38.2,606.3,0.14
556,Low,838.9,132.0,74.4,381.4,0.1
557,Low,250.0,164.8,87.8,358.7,0.0
558,Low,626.4,61.8,77.5,375.2,0.2
559,Low,756.1,199.6,72.7,623.3,0.07
560,Low,994.7,93.7,49.0,378.7,0.25
561,Low,250.0,108.7,79.7,591.9,0.0
562,Very Low,659.3,65.2,59.9,1000.0,0.3
563,Low,254.8,20.0,31.2,766.3,0.02
564,Low,727.2,163.0,98.9,407.2,0.18
565,Low,266.9,154.2,94.2,865.4,0.27
566,Low,461.8,93.1,76.0,382.6,0.06
567,Very High,250.0,114.0,79.6,10.0,0.28
568,Low,885.5,141.0,96.5,202.6,0.0
569,Very High,968.4,20.0,79.5,10.0,0.3
570,Low,531.2,78.3,93.1,399.5,0.15
571,Low,640.3,157.7,69.1,510.5,0.06
572,Very Low,250.0,34.7,101.2,1000.0,0.11
573,Low,505.1,127.6,81.4,603.1,0.27
574,Low,604.9,28.6,78.9,439.3,0.06
575,Low,1000.0,138.0,49.6,753.8,0.04
576,Very High,250.0,107.9,80.7,10.0,0.12
577,Low,1000.0,20.0,58.4,575.7,0.0
578,Low,1000.0,179.9,62.2,736.3,0.3
579,Median,737.3,65.9,58.7,61.4,0.07
580,Low,1000.0,61.4,53.7,848.1,0.27
581,Low,773.8,122.0,117.5,606.5,0.18
582,Low,780.7,178.9,101.6,380.4,0.0
583,Low,603.8,49.1,113.4,694.8,0.15
584,Very Low,1000.0,113.7,50.5,1000.0,0.27
585,Low,1000.0,135.7,76.4,559.6,0.12
586,Low,374.7,151.6,49.1,579.5,0.3
587,Low,250.0,120.6,61.1,367.2,0.3
588,Low,543.8,88.0,56.6,250.0,0.29
589,Low,305.0,60.3,99.8,754.1,0.08
590,Low,599.6,115.2,67.1,248.2,0.0
591,Low,1000.0,45.7,96.4,526.5,0.06
592,Low,442.1,20.0,87.1,361.7,0.18
593,Low,607.9,136.2,120.0,648.7,0.23
594,Low,648.2,164.2,45.4,605.1,0.0
595,Low,964.4,20.0,100.2,816.3,0.15
596,Low,250.0,49.4,97.9,352.0,0.17
597,Low,382.3,147.1,55.5,424.0,0.11
598,Low,709.5,200.0,95.1,211.4,0.3
599,Low,1000.0,111.2,81.7,371.7,0.21
600,Low,428.2,66.3,70.5,618.2,0.3
601,Low,250.0,99.0,58.5,732.1,0.12
602,Low,872.9,192.5,60.6,228.4,0.29
603,Low,370.9,71.2,116.0,765.9,0.3
604,Low,250.0,62.0,75.0,911.7,0.3
605,Low,375.3,81.0,90.6,629.0,0.0
606,Very Low,551.2,52.8,59.2,1000.0,0.11
607,Low,383.1,117.4,59.4,272.9,0.1
608,Low,250.0,200.0,96.6,131.6,0.22
609,Very High,983.8,129.4,48.0,10.0,0.25
610,Low,1000.0,94.9,66.7,953.8,0.02
611,Low,885.6,92.5,75.7,701.3,0.16
612,Low,250.0,20.0,77.2,488.3,0.0
613,Low,544.4,163.0,71.4,589.0,0.3
614,Low,622.4,105.3,82.9,167.4,0.07
615,Very Low,864.5,99.2,88.9,1000.0,0.16
616,Low,892.3,200.0,89.7,543.8,0.1
617,Low,331.3,127.9,55.3,537.8,0.3
618,Low,657.8,64.9,69.3,722.7,0.0
619,Low,807.9,84.4,98.9,649.3,0.15
620,Low,1000.0,178.9,92.9,572.2,0.13
621,Low,906.8,116.8,47.5,267.9,0.08
622,Low,940.6,23.7,82.0,646.4,0.3
623,Very Low,658.5,165.2,35.4,1000.0,0.02
624,Low,1000.0,69.9,75.9,908.6,0.27
625,Very Low,788.9,200.0,113.0,983.0,0.2
626,Low,280.6,174.8,56.0,351.6,0.3
627,Low,1000.0,83.2,58.3,208.1,0.05
628,Low,904.2,186.9,90.3,467.3,0.04
629,Low,447.8,114.1,44.1,521.7,0.3
630,Low,433.2,161.2,62.3,833.3,0.21
631,Very High,743.6,139.1,86.9,10.0,0.0
632,Very Low,810.3,59.2,62.3,963.9,0.07
633,Low,703.9,71.4,70.3,457.6,0.21
634,Low,749.5,171.8,89.9,376.9,0.28
635,Low,1000.0,89.9,83.4,201.4,0.05
636,Very High,1000.0,85.8,80.3,10.0,0.0
637,Low,701.3,52.7,68.2,752.0,0.23
638,Low,1000.0,135.4,82.4,527.0,0.0
639,Median,250.0,200.0,72.5,118.0,0.0
640,Median,784.2,45.9,84.2,116.5,0.0
641,Low,1000.0,111.5,65.1,404.3,0.27
642,Very Low,537.8,194.7,71.3,1000.0,0.17
643,Low,285.9,105.2,55.2,427.1,0.12
644,Median,364.2,137.1,74.3,54.1,0.3
645,Low,250.0,46.3,58.8,431.3,0.25
646,Low,311.1,135.7,52.7,423.2,0.3
647,Very High,476.8,98.8,80.2,10.0,0.0
648,Low,250.0,169.1,79.3,488.7,0.14
649,Low,631.2,181.2,90.7,435.7,0.0
650,Low,985.9,200.0,66.4,713.9,0.12
651,Very Low,261.9,144.8,83.2,1000.0,0.11
652,Low,1000.0,129.5,86.0,843.0,0.24
653,Low,829.3,121.7,83.9,424.3,0.16
654,Low,1000.0,88.8,58.5,173.0,0.24
655,Very Low,361.9,130.3,78.0,1000.0,0.26
656,Low,966.8,92.3,82.3,522.8,0.3
657,Low,250.0,120.1,75.1,509.2,0.1
658,Low,981.1,189.1,33.3,497.8,0.01
659,Low,693.7,49.6,78.2,564.4,0.19
660,Low,846.3,178.4,119.3,461.7,0.03
661,Low,250.0,189.0,67.8,332.9,0.3
662,Low,267.0,102.9,60.4,340.9,0.11
663,Low,863.9,20.0,82.5,495.2,0.07
664,Low,250.0,73.5,81.2,342.0,0.08
665,Low,810.3,187.8,98.9,291.1,0.26
666,Low,250.0,108.6,49.8,536.9,0.13
667,Low,964.3,50.0,89.6,428.5,0.05
668,Very Low,250.0,79.7,86.8,956.2,0.3
669,Very High,845.9,160.4,72.2,10.0,0.02
670,Low,875.3,142.8,81.8,832.5,0.16
671,Low,346.3,95.7,95.6,878.8,0.25
672,Very High,857.8,88.0,92.4,10.0,0.0
673,Low,729.2,86.5,52.1,402.2,0.22
674,Low,409.5,54.7,91.4,393.6,0.0
675,Median,250.0,200.0,73.7,82.7,0.27
676,Low,250.0,90.7,76.5,271.7,0.01
677,Low,764.9,183.0,76.5,171.8,0.25
678,Very Low,250.0,200.0,72.0,1000.0,0.3
679,Low,663.1,169.9,98.8,785.7,0.28
680,Low,519.6,84.1,73.3,886.5,0.19
681,Low,896.7,134.2,52.6,721.5,0.12
682,Low,504.2,108.5,67.1,166.3,0.06
683,Low,493.2,55.8,78.6,347.6,0.3
684,Low,917.7,129.5,99.6,651.8,0.05
685,Low,759.0,39.3,87.1,138.4,0.0
686,Low,751.5,181.3,58.0,718.9,0.25
687,Low,812.7,82.1,120.0,432.9,0.03
688,Low,250.0,122.1,80.3,392.6,0.01
689,Low,927.7,127.0,100.5,718.3,0.0
690,Low,870.0,94.5,72.0,638.3,0.08
691,Low,250.0,145.2,85.7,396.7,0.14
692,Low,527.4,81.5,91.8,852.8,0.19
693,Low,609.3,162.3,99.4,180.7,0.29
694,Low,571.2,29.2,96.1,689.8,0.23
695,Low,758.5,117.6,92.4,682.9,0.12
696,Low,1000.0,200.0,68.7,412.1,0.12
697,Low,1000.0,50.0,63.6,602.8,0.23
698,Low,250.0,69.3,81.7,129.7,0.3
699,Low,873.8,140.8,93.7,782.2,0.17
700,Low,1000.0,120.8,70.5,449.5,0.08
701,Low,779.7,131.0,96.3,348.2,0.0
702,Low,1000.0,139.4,104.1,819.7,0.0
703,Low,1000.0,148.1,56.7,293.7,0.25
704,Median,1000.0,176.6,58.3,82.5,0.24
705,High,724.7,134.6,72.2,38.0,0.24
706,Low,1000.0,95.5,81.2,686.8,0.13
707,Low,683.0,150.4,64.5,120.9,0.3
708,Very Low,634.6,200.0,102.0,1000.0,0.08
709,Very High,484.4,102.0,83.5,10.0,0.29
710,Very Low,1000.0,51.5,75.8,1000.0,0.14
711,Low,297.6,176.4,46.3,568.3,0.06
712,Low,1000.0,102.8,48.7,476.0,0.24
713,Low,824.9,20.0,80.6,341.5,0.21
714,Low,250.0,160.8,32.3,624.7,0.2
715,Low,772.1,77.9,95.3,493.7,0.16
716,Low,250.0,104.6,71.8,836.0,0.14
717,Low,875.2,129.9,120.0,539.3,0.3
718,Low,979.1,121.4,120.0,550.1,0.3
719,Low,388.1,152.6,71.4,395.9,0.26
720,Low,674.4,83.9,72.9,487.9,0.17
721,Low,1000.0,140.8,94.9,597.3,0.3
722,Very High,422.7,94.4,109.1,10.0,0.23
723,Median,250.0,154.3,42.2,100.5,0.15
724,Low,1000.0,146.9,39.3,728.0,0.1
725,Low,1000.0,53.9,62.6,556.3,0.14
726,Low,626.5,175.2,86.7,449.8,0.0
727,Low,1000.0,77.8,84.9,510.5,0.18
728,Low,1000.0,158.5,96.4,609.3,0.08
729,Low,328.0,132.0,51.0,343.1,0.3
730,Low,430.9,200.0,30.0,271.5,0.15
731,Low,1000.0,96.6,92.2,563.8,0.0
732,Low,1000.0,89.0,58.4,211.5,0.14
733,Low,850.2,108.8,34.6,627.5,0.0
734,Very High,273.1,91.8,77.9,10.0,0.22
735,Low,1000.0,158.0,90.9,813.7,0.19
736,Low,412.6,20.0,72.6,646.8,0.29
737,Low,490.9,46.8,65.8,581.8,0.03
738,Low,761.9,45.9,71.8,799.8,0.16
739,Very Low,1000.0,167.0,67.6,1000.0,0.0
740,Low,966.6,200.0,48.0,809.3,0.26
741,Very High,790.9,103.7,60.7,10.0,0.23
742,Low,810.3,99.9,85.4,121.1,0.22
743,Low,642.4,114.2,81.4,317.6,0.15
744,Low,848.3,179.7,78.4,512.8,0.21
745,Low,250.0,54.4,55.1,660.3,0.3
746,Low,506.4,124.3,71.4,287.3,0.11
747,Low,721.5,168.5,31.5,561.0,0.17
748,Low,250.0,140.1,78.6,278.4,0.0
749,Low,779.5,121.4,103.6,321.5,0.02
750,Median,543.2,170.1,45.5,83.0,0.16
751,Low,1000.0,20.0,63.3,228.0,0.3
752,Median,1000.0,150.7,81.6,99.5,0.11
753,Low,438.7,70.8,100.1,212.2,0.11
754,Low,564.7,20.0,66.0,821.1,0.09
755,Low,595.4,140.7,61.2,220.2,0.07
756,Very Low,444.3,192.4,35.6,1000.0,0.19
757,Low,703.0,101.8,77.1,653.0,0.0
758,Low,321.7,167.2,115.8,560.5,0.3
759,Low,250.0,200.0,80.5,247.5,0.05
760,Low,874.1,188.9,74.6,715.1,0.26
761,Low,876.8,200.0,81.4,332.3,0.0
762,Low,303.3,154.5,74.8,541.6,0.25
763,Very Low,983.1,114.5,58.7,1000.0,0.25
764,Low,372.4,20.0,91.5,476.2,0.21
765,Low,726.3,95.2,79.5,849.8,0.0
766,Low,953.1,59.4,75.4,294.0,0.19
767,Low,611.6,200.0,55.5,494.5,0.0
768,Very Low,806.9,99.4,101.1,1000.0,0.11
769,Low,418.4,117.4,88.3,316.9,0.3
770,Very Low,546.4,143.1,63.9,1000.0,0.27
771,Low,542.7,112.6,95.0,717.3,0.15
772,Low,326.4,200.0,65.0,336.3,0.0
773,Low,554.3,72.6,59.4,694.7,0.25
774,Low,250.0,121.7,59.8,796.8,0.15
775,Low,428.5,65.5,39.6,691.5,0.0
776,High,511.0,30.8,84.4,33.9,0.27
777,Low,522.5,73.3,38.4,286.9,0.15
778,Low,528.4,107.8,50.4,430.7,0.3
779,Low,600.3,84.2,33.5,482.7,0.0
780,Low,816.8,68.5,73.3,691.2,0.0
781,Low,974.8,25.6,72.0,558.3,0.19
782,Median,365.1,105.0,68.5,104.4,0.19
783,Low,250.0,20.0,54.1,619.1,0.0
784,Low,250.0,155.6,51.6,688.2,0.0
785,Low,430.1,114.9,84.3,672.9,0.3
786,Low,484.2,22.5,64.0,829.2,0.1
787,Low,317.0,91.4,81.3,755.2,0.26
788,Low,250.0,64.9,57.3,642.8,0.05
789,Low,442.6,129.2,78.6,484.0,0.0
790,Very High,697.6,190.4,101.1,10.0,0.12
791,Low,863.0,20.0,86.7,633.9,0.11
792,Low,402.0,116.9,66.8,567.3,0.09
793,Low,459.8,100.4,80.1,586.5,0.13
794,Low,254.3,150.3,70.2,122.0,0.19
795,Low,612.4,122.8,75.2,180.7,0.13
796,Low,285.6,64.9,68.5,820.9,0.0
797,Low,854.3,90.9,71.7,493.1,0.22
798,Low,250.0,62.2,79.2,709.5,0.0
799,Low,481.1,174.6,55.1,513.5,0.0
800,Low,745.4,111.3,54.7,513.9,0.26
801,Low,698.5,200.0,47.2,786.5,0.23
802,Low,1000.0,106.4,43.0,350.2,0.14
803,Low,764.9,67.5,50.7,533.8,0.0
804,Low,250.0,20.0,78.2,366.3,0.04
805,Low,586.8,20.0,57.1,374.7,0.11
806,Low,250.0,20.0,85.3,412.2,0.0
807,Low,592.8,126.0,75.7,571.6,0.04
808,Low,291.8,140.5,35.6,361.4,0.25
809,Low,991.2,20.0,88.1,881.7,0.3
810,Low,405.2,163.7,91.2,236.6,0.09
811,Low,578.3,81.0,55.1,448.9,0.26
812,Low,370.8,118.8,83.4,373.1,0.0
813,Low,1000.0,200.0,57.9,939.1,0.25
814,Low,496.5,163.8,77.0,564.0,0.03
815,Low,1000.0,93.9,49.7,814.6,0.2
816,Median,950.7,56.5,39.1,59.3,0.11
817,Low,817.8,20.0,67.3,585.1,0.3
818,Low,772.5,66.9,72.5,771.9,0.02
819,Low,782.5,97.3,67.0,529.7,0.24
820,Low,250.0,50.8,51.3,824.6,0.11
821,Low,513.4,102.1,67.0,349.8,0.13
822,Low,963.1,114.6,80.4,927.8,0.12
823,Very Low,605.4,96.5,74.1,1000.0,0.02
824,Low,250.0,71.0,78.7,396.1,0.15
825,Low,604.0,120.1,61.6,371.3,0.14
826,Low,1000.0,136.5,98.4,941.0,0.19
827,Very Low,1000.0,44.6,51.5,978.9,0.16
828,Low,600.2,194.7,84.8,348.1,0.27
829,Low,1000.0,104.1,98.6,378.9,0.29
830,Low,478.4,111.1,84.6,420.5,0.0
831,Median,250.0,152.5,70.9,101.7,0.28
832,Low,255.2,124.0,64.4,229.4,0.0
833,Low,1000.0,167.2,95.7,203.8,0.24
834,Low,515.4,127.2,46.5,274.7,0.24
835,Low,527.6,73.3,55.6,494.6,0.0
836,Low,505.1,131.7,67.0,575.3,0.16
837,Very Low,1000.0,41.4,99.8,970.2,0.08
838,Low,1000.0,116.5,82.6,205.5,0.04
839,Low,1000.0,108.0,55.6,800.3,0.3
840,Low,561.4,97.5,68.8,440.8,0.05
841,Low,743.2,102.3,62.7,490.2,0.03
842,Low,250.0,20.0,60.8,707.4,0.16
843,Low,1000.0,77.1,94.6,168.2,0.25
844,Low,250.0,115.6,47.6,619.7,0.13
845,Low,711.7,119.6,107.2,554.9,0.3
846,Low,250.0,48.3,91.6,652.7,0.23
847,Low,389.5,185.9,96.8,591.8,0.0
848,Very Low,290.1,58.0,65.7,1000.0,0.07
849,Low,381.8,168.2,72.0,313.7,0.07
850,Low,409.4,135.6,46.3,345.7,0.22
851,Low,405.7,71.2,64.5,318.1,0.0
852,Low,958.3,200.0,84.9,338.4,0.3
853,Low,250.0,38.4,100.9,313.8,0.23
854,Low,713.2,165.1,52.9,861.7,0.17
855,Low,1000.0,170.0,67.7,931.2,0.3
856,Low,419.7,69.8,72.0,333.8,0.3
857,Low,337.8,193.5,47.1,255.3,0.28
858,Low,532.8,95.0,86.8,646.4,0.29
859,Low,1000.0,127.3,60.5,339.3,0.17
860,Low,702.6,125.6,71.1,694.9,0.13
861,Low,412.5,101.9,66.0,565.9,0.08
862,Median,818.6,158.6,59.2,50.3,0.03
863,Very Low,250.0,157.6,74.9,969.3,0.05
864,Very Low,897.5,20.0,70.7,1000.0,0.0
865,Low,788.4,188.3,67.6,321.2,0.14
866,Low,501.9,20.0,60.4,388.7,0.0
867,Low,289.6,172.0,81.4,590.8,0.18
868,Low,270.3,177.6,108.1,605.3,0.14
869,Low,838.9,44.5,77.8,702.6,0.17
870,Very Low,1000.0,85.4,94.9,1000.0,0.07
871,Low,370.1,43.7,47.2,451.9,0.3
872,Low,808.4,97.1,78.2,265.5,0.3
873,Median,250.0,91.5,53.1,91.2,0.0
874,Low,391.2,156.8,45.5,285.7,0.18
875,Low,612.6,188.6,60.2,495.1,0.06
876,Very Low,261.1,193.7,98.8,1000.0,0.0
877,Low,250.4,76.3,94.0,349.7,0.0
878,Low,357.9,97.4,79.9,572.1,0.21
879,Low,741.9,20.0,44.3,500.1,0.05
880,Low,550.1,61.6,71.1,861.5,0.3
881,Very Low,250.0,167.9,81.0,1000.0,0.3
882,Low,250.0,200.0,78.5,345.7,0.3
883,Low,382.3,35.9,38.1,358.2,0.02
884,Low,808.1,74.5,57.2,818.2,0.22
885,Low,250.0,108.4,73.7,709.6,0.24
886,Very Low,425.1,126.8,85.7,1000.0,0.08
887,Low,414.5,61.4,31.1,680.2,0.03
888,Low,1000.0,135.4,71.8,397.2,0.3
889,Low,471.0,81.6,77.9,682.2,0.18
890,Low,778.2,109.1,92.0,837.6,0.25
891,Low,681.5,142.8,88.9,751.1,0.03
892,Low,250.0,110.4,86.7,657.2,0.0
893,Low,932.3,83.8,59.0,825.0,0.06
894,Low,711.2,103.4,36.8,855.8,0.13
895,Low,828.3,104.7,67.1,919.6,0.0
896,Low,1000.0,87.8,95.0,699.6,0.15
897,Low,250.0,94.5,102.9,454.9,0.0
898,Low,1000.0,200.0,89.2,549.0,0.0
899,Low,510.0,143.7,83.6,867.0,0.25
900,Low,739.9,92.3,82.6,259.9,0.24
901,Low,606.8,151.8,63.9,615.6,0.09
902,Low,455.3,90.0,72.4,387.0,0.0
903,Low,397.1,180.4,108.4,513.6,0.0
904,Low,756.8,132.2,56.1,888.5,0.09
905,Low,250.0,103.6,107.3,562.3,0.25
906,Low,925.2,136.9,68.6,518.9,0.29
907,Median,458.5,20.0,101.5,97.0,0.08
908,Low,250.0,42.4,46.9,728.9,0.0
909,Low,445.0,38.4,86.7,698.6,0.19
910,Very Low,1000.0,118.6,60.3,1000.0,0.03
911,Low,410.9,200.0,46.7,412.7,0.07
912,Low,768.4,200.0,79.4,570.7,0.3
913,Low,332.6,148.3,95.2,579.8,0.27
914,Very Low,928.2,140.1,58.1,978.2,0.17
915,Low,899.2,20.0,45.0,476.4,0.0
916,Low,1000.0,77.4,73.2,588.7,0.18
917,Low,554.8,62.7,73.3,687.4,0.3
918,Low,892.5,72.7,86.0,561.0,0.09
919,Low,664.2,99.9,94.0,371.1,0.3
920,Low,1000.0,81.7,73.8,563.2,0.3
921,Low,337.5,20.0,112.1,827.1,0.3
922,Low,923.0,154.9,79.5,197.0,0.2
923,Low,547.1,45.6,68.1,544.9,0.24
924,Low,599.3,124.4,42.8,295.0,0.3
925,Low,661.7,200.0,69.7,863.5,0.22
926,High,725.9,54.8,68.3,48.0,0.07
927,Low,578.5,20.0,94.2,337.3,0.08
928,Low,710.9,92.8,84.2,618.2,0.19
929,Very Low,1000.0,176.1,51.4,974.7,0.0
930,Low,1000.0,200.0,78.4,485.3,0.13
931,Low,972.7,36.2,88.4,338.4,0.3
932,Very Low,442.8,139.8,105.6,1000.0,0.0
933,Median,269.3,82.1,92.8,70.6,0.3
934,Very High,1000.0,103.6,90.2,10.0,0.3
935,Low,975.4,200.0,76.2,637.0,0.08
936,Low,1000.0,20.0,82.8,354.4,0.23
937,Low,383.4,125.2,100.0,198.6,0.15
938,Low,533.2,138.1,48.3,717.5,0.3
939,Low,250.0,175.1,68.0,578.1,0.3
940,Low,468.0,115.9,59.5,335.8,0.0
941,Low,1000.0,128.5,82.6,120.9,0.24
942,Low,438.4,86.5,99.6,766.7,0.12
943,Low,881.2,126.1,63.1,700.1,0.16
944,Low,548.8,89.4,30.0,475.2,0.04
945,Very Low,754.6,147.3,66.8,1000.0,0.3
946,Low,250.0,87.8,93.3,184.0,0.3
947,High,659.1,132.6,85.8,47.3,0.04
948,Low,250.0,108.2,83.6,297.4,0.0
949,Low,550.2,177.6,69.4,491.3,0.09
950,Low,250.0,106.9,49.4,578.0,0.22
951,Low,1000.0,20.0,85.3,432.6,0.19
952,Low,936.0,185.7,58.3,610.6,0.3
953,Low,811.7,55.7,118.7,129.5,0.27
954,Low,1000.0,70.8,86.4,938.1,0.3
955,Low,250.0,74.3,63.4,480.4,0.2
956,Low,1000.0,192.5,62.8,840.2,0.0
957,Low,997.9,20.0,73.1,607.8,0.12
958,Low,530.4,200.0,70.2,642.0,0.3
959,Low,1000.0,173.4,97.3,675.9,0.14
960,Low,250.0,123.4,78.7,639.3,0.23
961,Low,295.2,106.7,60.4,697.8,0.1
962,Low,381.6,127.1,112.8,903.7,0.0
963,Low,413.4,141.3,76.0,564.0,0.13
964,Low,250.0,148.7,90.4,717.7,0.2
965,Low,1000.0,143.3,62.8,478.1,0.05
966,Low,521.5,115.4,82.3,937.0,0.11
967,Low,766.0,98.2,81.2,302.1,0.01
968,Very Low,396.9,100.9,37.2,1000.0,0.3
969,Low,250.0,98.3,115.3,493.0,0.11
970,Median,733.0,178.0,100.8,75.8,0.3
971,Low,250.0,145.6,67.1,543.4,0.3
972,Low,597.5,20.0,53.0,300.7,0.14
973,Low,250.0,149.4,82.0,757.2,0.0
974,Low,1000.0,121.7,76.7,309.2,0.0
975,Low,989.5,108.9,82.1,371.1,0.0
976,Very High,667.3,86.7,78.8,10.0,0.0
977,Low,1000.0,177.4,85.1,369.3,0.3
978,Very High,286.5,166.9,103.9,10.0,0.17
979,High,842.4,63.6,86.4,29.8,0.21
980,Low,704.9,134.4,54.0,733.1,0.0
981,Low,730.6,51.7,102.3,740.7,0.0
982,Low,1000.0,27.2,107.8,632.6,0.28
983,Low,918.0,72.4,120.0,214.9,0.19
984,Low,740.5,161.7,52.5,490.7,0.13
985,Low,250.0,167.2,79.9,503.9,0.23
986,Low,250.0,140.8,33.4,157.5,0.3
987,Low,575.9,153.5,86.1,956.0,0.12
988,Low,662.3,141.0,64.0,768.2,0.16
989,Low,250.0,71.5,113.5,438.7,0.18
990,Low,1000.0,135.9,59.5,513.1,0.3
991,Low,1000.0,158.0,41.2,567.5,0.0
992,Very High,865.8,155.3,65.6,10.0,0.25
993,Low,653.8,181.3,35.5,430.8,0.13
994,Low,540.1,152.5,90.0,300.4,0.24
995,Low,250.0,131.1,33.7,204.5,0.05
996,Low,656.0,174.2,75.6,420.7,0.14
997,Very Low,728.1,108.4,33.4,1000.0,0.26
998,Low,250.0,57.1,68.6,697.3,0.3
999,Low,758.7,100.2,107.9,333.6,0.27
1000,Low,562.9,65.3,82.2,676.8,0.02
